unit,bau_wsp,bau_mixed,bau_birch,bau_thin,bau_salv,prj_wsp,prj_mixed,prj_birch,prj_thin,prj_salv,prj_bspharv,prj_bspthin,prj_bspprune,prj_bspshear
2E,15.3375994,2.88945804,0,0,0,6.32376821646336,2.32023150388224,1.75912976764928,0.97055435456512,3.79122794752,0.95845158842496,0.67060989733248,0.67060989733248,0.76247426683008
4C,9.49393356,3.830757676,9.63962052,0,1.47305704,6.81491224,3.00277012,2.39978798,1.1735894,3.84856386,2.66688074,1.5175725,1.38807298,1.61469714
4D,22.53696334,0.404686,0,0,0,14.8519762,6.07029,4.5324832,2.31885078,7.92375188,2.82470828,2.0638986,2.1246015,3.3993624
5A,29.08882968,6.68541272,18.3525101,0,13.91310468,21.9077453742451,8.9526844077444,6.68818188107964,3.4230852147258,11.691152579525,4.16716909284628,3.04464752909064,3.13690957542672,5.01290451759368
6,22.53696334,0.404686,0,0,0,6.8027725705435,2.295312016467,1.7796984475505,1.0915636755972,4.65715481602,1.8359054884335,1.299644435111,1.3311892029535,1.842214442002
7A,1.17763626,3.45601844,0,0,1.2949952,1.8805855342297,0.8005515246469,0.5447539960615,0.3126414238266,1.1984587913353,0.3872890547175,0.2323734328305,0.2395233846099,0.3324727577421
7B,8.59148378,5.09499674,6.09861802,0,0.11735894,7.05108244092936,2.47033282733256,1.70142128505024,1.16154722344776,3.97543627180008,0.99902375566608,0.72978331087664,0.75103913546528,1.062791229432
10C,21.5292952,0.16996812,0.09712464,0.0809372,5.84366584,8.879282906219,3.577892866388,2.552521130289,1.439883714522,5.366839299582,1.818607893564,1.192806521739,1.228150785264,1.665089045406
14,22.53696334,0.404686,0,0,0,6.8027725705435,2.295312016467,1.7796984475505,1.0915636755972,4.65715481602,1.8359054884335,1.299644435111,1.3311892029535,1.842214442002
