Forest type,Year,Climate scenario,N,Biomass mn,Biomass se
Aspen/ pine,2080,SSP5-8.5,18,30.1572988888889,2.71100914605636
Deciduous,2080,SSP5-8.5,2,36.0937,9.6888
Mixed forest,2080,SSP5-8.5,64,24.327373109375,1.76401371007604
Pine,2080,SSP5-8.5,4947,27.2869334606832,0.0752320474638814
Reproductive/ other,2080,SSP5-8.5,160,6.800576103125,0.54717586172715
Spruce,2080,SSP5-8.5,502,21.754965009761,0.684547323791818
Aspen/ pine,2080,Historical climate,9,25.2763355555556,5.09223070186205
Deciduous,2080,Historical climate,3,33.2612333333333,4.73294330177087
Mixed forest,2080,Historical climate,294,26.1777640251701,0.709528473622357
Pine,2080,Historical climate,3315,24.6140666051282,0.133866382451961
Reproductive/ other,2080,Historical climate,397,9.37118483778337,0.527754432872426
Spruce,2080,Historical climate,1675,19.8453668560358,0.402267471289553
Aspen/ pine,2100,SSP2-4.5,10,29.79911,3.68543793735561
Deciduous,2100,SSP2-4.5,4,21.575143075,10.4405277224559
Mixed forest,2100,SSP2-4.5,80,25.726554875,1.28794774746939
Pine,2100,SSP2-4.5,4799,26.3308858176704,0.0835813957261022
Reproductive/ other,2100,SSP2-4.5,215,7.54248893953488,0.585401882927639
Spruce,2100,SSP2-4.5,585,21.9819333834188,0.658692864299302
Aspen/ pine,2100,SSP5-8.5,19,30.173052631579,2.0371980871335
Deciduous,2100,SSP5-8.5,0,,
Mixed forest,2100,SSP5-8.5,24,22.9279075,3.16197558394115
Pine,2100,SSP5-8.5,5146,25.6056412320249,0.0753643187600784
Reproductive/ other,2100,SSP5-8.5,143,7.24647868531469,0.412003881912927
Spruce,2100,SSP5-8.5,361,27.3060034529086,0.858522757241477
Aspen/ pine,2100,Historical climate,9,26.1551377777778,3.58962887424537
Deciduous,2100,Historical climate,15,17.085324,3.35244526220372
Mixed forest,2100,Historical climate,307,26.4264647785016,0.701211826306641
Pine,2100,Historical climate,2983,23.7668756019108,0.14853510974879
Reproductive/ other,2100,Historical climate,428,8.55895008247664,0.50484291761516
Spruce,2100,Historical climate,1951,22.1538816793593,0.396733672913681
